"","SRR6078283.bam","SRR6078284.bam","SRR6078285.bam","SRR6078300.bam","SRR6078301.bam","SRR6078302.bam"
"PARK7",2319,2872,3309,2450,2760,2619
"ERRFI1",804,1302,693,901,1131,679
"LOC107984915",0,0,0,0,0,0
"LINC01714",0,0,0,0,0,1
"LOC105376695",0,1,0,0,1,0
"SLC45A1",39,45,45,7,10,27
"RERE",340,355,315,587,747,426
"RERE-AS1",0,4,0,3,4,4
"SNORD128",1,0,0,0,0,0
"ENO1",13761,26791,16823,34737,35555,15443
"MIR6728",3,1,1,4,2,1
"ENO1-AS1",6,7,18,13,10,17
"LOC112268261",1,0,1,1,1,2
"CA6",0,0,0,0,0,0
"SLC2A7",0,0,0,0,0,0
"SLC2A5",15,38,16,183,37,42
"GPR157",52,41,40,85,83,46
"LOC107984916",0,0,0,0,0,0
"MIR34AHG",592,387,519,301,393,756
"MIR34A",0,0,0,0,0,0
"LNCTAM34A",83,37,77,22,46,77
"H6PD",3633,2360,4875,4292,4730,6555
"SPSB1",450,347,424,356,418,693
"LINC02606",25,26,38,23,52,43
"SLC25A33",110,149,130,91,117,135
"TMEM201",134,99,117,199,310,280
"LOC107985734",1,0,0,3,3,1
"LOC105376712",0,0,0,0,0,0
"PIK3CD",405,282,513,841,905,372
"PIK3CD-AS1",0,0,0,0,0,0
"PIK3CD-AS2",37,22,66,16,19,30
"CLSTN1",3304,2729,3605,5454,5601,5030
"CTNNBIP1",337,304,394,471,555,463
"LOC105376717",1,1,0,0,1,1
"LZIC",716,676,735,781,1035,862
"NMNAT1",356,350,474,470,477,436
"TMEM274P",2,5,1,0,1,4
"MIR5697",0,0,0,0,0,0
"RBP7",1,6,2,0,1,0
"UBE4B",1625,567,1129,1544,1793,2037
"KIF1B",2360,3058,2305,2720,2885,3764
"LOC105376725",2,2,4,2,8,5
"PGD",2430,1277,1505,880,1046,1548
"CENPS-CORT",3,0,2,4,0,1
"CENPS",27,24,34,33,47,37
"CORT",7,1,1,5,4,6
"DFFA",1469,1295,1378,1460,1345,1549
"PEX14",293,276,362,399,419,354
"CASZ1",4,6,1,53,22,0
"LOC105376733",0,0,0,0,0,0
"LOC105376735",0,0,0,0,0,0
"C1orf127",0,0,0,0,0,0
"TARDBP",1671,1173,1106,1787,2410,1984
"MASP2",47,32,22,28,47,70
"SRM",447,477,395,1108,1275,645
"EXOSC10",1136,711,1008,1520,1827,1556
"EXOSC10-AS1",2,8,2,8,6,4
"MTOR",2079,2943,1947,2587,2749,2814
"MTOR-AS1",0,4,3,0,4,7
"ANGPTL7",2,2,4,6,10,16
"UBIAD1",172,122,87,159,289,237
"LOC105376737",0,0,0,0,0,0
"LOC105376739",0,0,0,0,0,0
"LOC105376740",0,0,0,0,0,0
"DISP3",1,0,2,1,1,1
"LOC112268221",0,0,0,0,0,0
"LINC01647",0,0,1,0,0,0
"FBXO2",9,4,26,16,22,12
"FBXO44",334,185,343,224,295,371
"FBXO6",145,138,196,109,117,178
"MAD2L2",376,399,457,486,777,390
"DRAXIN",2,0,0,21,44,1
"AGTRAP",470,340,571,857,825,619
"C1orf167",2,0,1,0,1,2
"LOC102724659",0,0,0,0,0,0
"MTHFR",966,418,729,541,616,1291
"CLCN6",412,147,234,339,399,651
"NPPA-AS1",11,1,2,3,9,15
"NPPA",5,1,4,0,7,8
"NPPB",0,2,0,0,1,0
"RNU5E-1",22,46,37,37,54,5
"KIAA2013",755,815,770,911,993,960
"PLOD1",7401,12368,9149,11841,10501,10509
"MFN2",1824,2410,1941,3107,3175,2473
"MIIP",227,322,358,414,407,406
"MIR6729",0,1,1,0,0,0
"TNFRSF8",0,4,0,4,2,3
"MIR7846",0,0,0,0,0,0
"TNFRSF1B",162,179,139,433,160,420
"MIR4632",0,0,0,0,0,0
"LOC107984917",0,2,0,3,2,3
"VPS13D",1987,1586,1261,2768,3227,2909
"SNORA59A",4,1,1,2,3,20
"LOC105376744",1,2,3,1,0,4
"DHRS3",735,1809,3393,1857,2445,1677
"MIR6730",0,0,2,0,2,1
"AADACL4",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"C1orf158",2,3,2,0,0,4
"PRAMEF12",0,0,0,0,0,0
"PRAMEF1",0,0,1,0,0,0
"LINC01784",0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0
"HNRNPCL1",2,2,2,3,3,8
"PRAMEF2",0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0
"PRAMEF7",0,0,1,0,0,0
"PRAMEF6",0,0,0,0,0,0
"PRAMEF27",0,0,0,0,0,0
"HNRNPCL3",0,1,0,1,2,5
"PRAMEF25",0,0,0,0,0,0
"PRAMEF34P",0,0,0,0,0,0
"HNRNPCL2",1,2,3,1,2,8
"PRAMEF36P",0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0
"HNRNPCL4",0,0,1,1,0,3
"PRAMEF9",0,0,0,0,0,0
"PRAMEF13",0,0,0,0,0,0
"PRAMEF18",0,0,0,0,0,0
"PRAMEF5",0,0,0,0,0,0
"PRAMEF8",0,0,1,0,0,0
"PRAMEF33",0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0
"PRAMEF14",0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0
"LRRC38",0,0,0,0,0,0
"LOC102724856",0,0,0,0,0,0
"LOC107984918",0,0,0,0,0,0
"PDPN",663,39,519,760,410,2209
"LOC107984919",0,0,1,1,0,4
"LOC105378612",0,0,0,0,0,2
"LOC105376756",0,0,0,0,0,0
"PRDM2",783,610,501,810,787,819
"KAZN",210,134,191,265,242,213
"LOC107985467",0,0,0,0,0,14
"LOC107985468",0,0,0,0,1,2
"KAZN-AS1",1,0,0,1,0,2
"LOC105376759",20,1,9,4,5,12
"LOC107985469",0,0,0,1,1,0
"TMEM51-AS1",0,0,0,0,0,0
"TMEM51",42,5,49,60,32,22
"C1orf195",0,0,0,0,1,1
"FHAD1",2,12,54,27,6,60
"LOC101927417",1,0,14,9,5,5
"LOC101927441",2,1,1,2,8,11
"EFHD2",417,456,576,752,615,532
"CTRC",3,2,0,1,0,0
"CELA2A",0,0,0,0,0,0
"LOC105376767",0,0,0,0,0,0
"CELA2B",2,1,4,2,6,2
"CASP9",135,90,203,158,208,136
"DNAJC16",757,663,676,728,899,802
"SCARNA21B",0,1,0,0,1,1
"AGMAT",34,36,31,51,29,31
"DDI2",459,269,382,760,777,856
"RSC1A1",0,2,0,2,2,6
"PLEKHM2",2621,1908,2868,2812,3113,4192
"SLC25A34",43,40,33,40,33,94
"SLC25A34-AS1",0,1,0,0,2,1
"TMEM82",0,0,0,1,0,0
"FBLIM1",911,2661,1529,1319,2061,1366
"UQCRHL",383,337,606,432,461,474
"FLJ37453",45,50,50,50,63,68
"SPEN",744,892,435,924,1226,844
"ZBTB17",572,805,628,704,682,809
"SRARP",0,0,0,0,0,0
"HSPB7",2376,1654,1723,8118,3005,889
"CLCNKA",10,2,6,10,6,5
"CLCNKB",5,2,2,3,9,13
"FAM131C",2,1,2,5,2,4
"EPHA2",296,819,374,573,707,189
"LOC101927479",2,5,6,9,7,6
"ARHGEF19",188,231,240,124,290,192
"ANO7L1",38,29,34,23,32,30
"CPLANE2",103,79,86,101,98,97
"FBXO42",525,549,563,629,712,661
"SZRD1",344,203,256,760,823,539
"SPATA21",0,7,4,3,7,6
"NECAP2",1572,1867,2090,1928,1666,1825
"LINC01772",43,18,23,18,34,49
"CROCCP3",123,104,105,145,120,257
"RNU1-1",4,12,9,18,12,16
"TRNAN-GUU",0,0,0,0,0,0
"LINC01783",1,1,0,4,4,2
"TRNAE-UUC",0,0,0,0,0,0
"TRNAG1",0,0,1,8,1,0
"NBPF1",372,294,370,310,314,1576
"LOC105376794",311,144,272,284,212,421
"CROCCP2",87,67,136,124,75,190
"MST1P2",51,19,50,18,44,60
"LOC107985736",0,0,1,0,2,5
"RNU1-3",2,0,0,3,1,50
"TRNAG-CCC",0,2,0,5,3,0
"ESPNP",0,0,0,0,0,0
"TRG-CCC5-1",0,0,0,2,0,0
"RNU1-4",4,6,1,16,5,22
"MST1L",15,10,14,7,20,37
"MIR3675",0,0,0,0,0,0
"TRG-CCC1-2",0,0,0,0,0,0
"LOC112267871",0,0,1,4,3,0
"TRE-TTC3-1",0,0,0,0,0,0
"TRN-GTT13-1",0,0,0,0,0,0
"LOC105376805",25,6,28,22,7,13
"TRN-GTT4-1",0,0,0,1,1,1
"RNU1-2",5,21,6,12,23,96
"CROCC",498,744,633,559,569,1052
"MFAP2",968,831,1402,841,1231,1818
"LOC105376806",40,62,74,51,74,92
"ATP13A2",318,582,434,968,751,444
"SDHB",924,1080,1392,1120,1122,1060
"PADI2",1,273,3,11,82,1
"LOC105376808",0,0,0,0,0,0
"LOC400743",0,21,0,8,4,0
"PADI1",0,8,5,11,3,1
"PADI3",0,0,0,0,0,0
"MIR3972",0,0,0,0,0,0
"PADI4",0,0,0,0,0,0
"PADI6",0,0,0,0,0,1
"RCC2",1336,1384,1216,2004,2662,2085
"ARHGEF10L",808,1573,1123,1284,1150,1501
"LOC107984028",0,0,0,0,0,0
"ACTL8",2,0,0,1,0,3
"LOC105376809",0,0,0,0,0,0
"LOC105376812",0,0,0,0,0,0
"LINC01654",0,0,0,0,0,0
"IGSF21",0,0,0,0,0,0
"IGSF21-AS1",0,0,0,0,0,1
"KLHDC7A",0,1,0,0,0,0
"PAX7",0,0,0,0,0,0
"TAS1R2",0,0,0,0,0,0
"ALDH4A1",430,693,474,398,444,398
"MIR4695",0,0,0,0,0,0
"MIR1290",0,1,0,0,0,1
"IFFO2",411,916,462,526,669,509
"LOC105376815",0,0,1,0,0,0
"UBR4",6195,5462,3556,7796,8302,7623
"EMC1-AS1",4,7,6,6,15,10
"EMC1",2419,3451,3055,2649,2909,4096
"MRTO4",388,581,481,581,664,547
"AKR7L",20,27,26,37,38,50
"AKR7A3",22,8,8,14,13,36
"LOC100506730",36,24,49,57,55,66
"AKR7A2",1025,1008,1487,1140,967,1453
